blocksize,elapsed_time
74,1.2824e-05
75,1.2854e-05
76,1.2894e-05
77,1.2995e-05
78,1.2904e-05
79,1.2965e-05
80,1.3175e-05
81,1.547e-05
82,1.5499e-05
83,1.4057e-05
84,1.3265e-05
85,1.6401e-05
86,1.9617e-05
87,2.0268e-05
88,1.5809e-05
89,1.6791e-05
90,1.5419e-05
91,1.5278e-05
92,1.7453e-05
93,1.6891e-05
94,1.6671e-05
95,1.7282e-05
96,1.6691e-05
97,1.3786e-05
98,1.5229e-05
99,0.000686693
blocksize,elapsed_time
0,1.584e-05
1,1.548e-05
2,1.6491e-05
3,1.4046e-05
4,1.2534e-05
5,1.4096e-05
6,1.4096e-05
7,1.3765e-05
8,1.4207e-05
9,1.3666e-05
10,1.3506e-05
11,1.3876e-05
12,1.3726e-05
13,1.4126e-05
14,1.3926e-05
15,1.3947e-05
16,1.3495e-05
17,1.4147e-05
18,1.4728e-05
19,1.4177e-05
20,1.3516e-05
21,1.5189e-05
22,1.3485e-05
23,1.3716e-05
24,1.4888e-05
25,1.3946e-05
26,1.3917e-05
27,1.5289e-05
28,1.3405e-05
29,1.3526e-05
30,1.5239e-05
31,1.3966e-05
32,1.3956e-05
33,1.5679e-05
34,1.3796e-05
35,1.3946e-05
36,1.2374e-05
37,1.3766e-05
38,1.4117e-05
39,1.4217e-05
40,1.4027e-05
41,1.4818e-05
42,1.4166e-05
43,1.3966e-05
44,1.4357e-05
45,1.4237e-05
46,1.3996e-05
47,1.4447e-05
48,1.3194e-05
49,1.3205e-05
50,1.4006e-05
51,1.3205e-05
52,1.3265e-05
53,1.4197e-05
54,1.3085e-05
55,1.3526e-05
56,1.4196e-05
57,1.3185e-05
58,1.3135e-05
59,1.4407e-05
60,1.3104e-05
61,1.3255e-05
62,1.4267e-05
63,1.3165e-05
64,1.3094e-05
65,1.4788e-05
66,1.3155e-05
67,1.3195e-05
68,1.2594e-05
69,1.3134e-05
70,1.3105e-05
71,1.3305e-05
72,1.3045e-05
73,1.3135e-05
74,1.3455e-05
75,1.3134e-05
76,1.3095e-05
77,1.3285e-05
78,1.2744e-05
79,1.3315e-05
80,1.3165e-05
81,1.3385e-05
82,1.4267e-05
83,1.3174e-05
84,1.3195e-05
85,1.5119e-05
86,1.3145e-05
87,1.3245e-05
88,1.4117e-05
89,1.3135e-05
90,1.3035e-05
91,1.4247e-05
92,1.3305e-05
93,1.3315e-05
94,1.7312e-05
95,1.3245e-05
96,1.3415e-05
97,1.4828e-05
98,1.3165e-05
99,1.3145e-05
blocksize,elapsed_time
