blocksize,elapsed_time
9,1.2002e-05
10,1.2153e-05
11,1.2434e-05
12,1.3155e-05
13,1.1882e-05
14,1.1661e-05
15,1.2113e-05
16,1.2633e-05
17,1.1913e-05
18,1.2073e-05
19,1.3104e-05
20,1.1391e-05
blocksize,elapsed_time
0,1.1832e-05
1,1.1993e-05
2,1.1822e-05
3,1.2153e-05
4,1.1822e-05
5,1.1362e-05
6,1.2734e-05
7,1.3154e-05
8,1.1963e-05
9,1.1743e-05
10,1.2073e-05
11,1.1652e-05
12,1.2924e-05
13,1.1302e-05
14,1.1692e-05
15,1.2153e-05
16,1.3415e-05
17,1.1552e-05
18,1.1482e-05
19,1.1983e-05
20,1.2634e-05
blocksize,elapsed_time
0,1.3796e-05
1,1.2353e-05
2,1.2613e-05
3,1.1832e-05
4,1.2394e-05
5,1.4086e-05
6,0.000104607
7,1.4147e-05
8,1.1502e-05
9,1.1742e-05
10,1.6451e-05
11,1.1913e-05
12,1.1702e-05
13,1.2975e-05
14,1.1873e-05
15,1.1652e-05
16,1.1392e-05
17,1.2083e-05
18,1.2303e-05
19,1.3355e-05
20,1.2593e-05
blocksize,elapsed_time
0,1.1591e-05
1,1.1842e-05
2,1.1702e-05
3,1.1511e-05
4,1.2083e-05
5,1.2173e-05
6,1.1853e-05
7,1.1772e-05
8,1.3315e-05
9,1.2764e-05
10,1.1622e-05
11,1.1642e-05
12,1.2033e-05
13,1.2513e-05
14,1.1913e-05
15,1.2012e-05
16,1.1843e-05
17,1.1842e-05
18,1.2173e-05
19,1.3335e-05
20,1.3114e-05
blocksize,elapsed_time
0,1.2854e-05
1,1.1922e-05
2,1.2473e-05
3,1.2383e-05
4,1.1792e-05
5,1.1843e-05
6,1.1812e-05
7,1.1883e-05
8,1.1642e-05
9,1.1512e-05
10,1.1541e-05
11,1.2213e-05
12,1.0831e-05
13,1.0991e-05
14,1.1071e-05
15,1.08e-05
16,1.061e-05
17,1.0771e-05
18,1.069e-05
19,1.1071e-05
20,1.1251e-05
blocksize,elapsed_time
0,1.1151e-05
1,1.074e-05
2,1.0761e-05
3,1.064e-05
4,1.0741e-05
5,1.064e-05
6,1.1111e-05
7,1.075e-05
8,1.095e-05
9,1.1141e-05
10,1.1021e-05
11,1.1041e-05
12,1.0941e-05
13,1.1201e-05
14,1.1101e-05
15,1.081e-05
16,1.0921e-05
17,1.0851e-05
18,1.0931e-05
19,1.091e-05
20,1.2293e-05
blocksize,elapsed_time
0,1.2634e-05
1,1.112e-05
2,1.0851e-05
3,1.083e-05
4,1.077e-05
5,1.0911e-05
6,1.1151e-05
7,1.1271e-05
8,1.1141e-05
9,1.1151e-05
10,1.1222e-05
11,1.1472e-05
12,1.1061e-05
13,1.1111e-05
14,1.0931e-05
15,1.1311e-05
16,1.1201e-05
17,1.1181e-05
18,1.1261e-05
19,1.2704e-05
20,1.1041e-05
blocksize,elapsed_time
0,1.108e-05
1,1.1271e-05
2,1.09e-05
3,1.099e-05
4,1.068e-05
5,1.0711e-05
6,1.086e-05
7,1.0891e-05
8,1.08e-05
9,1.1041e-05
10,1.0971e-05
11,1.0831e-05
12,1.1041e-05
13,1.065e-05
14,1.1161e-05
15,1.1262e-05
16,1.1221e-05
17,1.073e-05
18,1.075e-05
19,1.0499e-05
20,1.084e-05
blocksize,elapsed_time
0,1.1902e-05
1,1.0731e-05
2,1.0981e-05
3,1.0921e-05
4,1.063e-05
5,1.09e-05
6,1.082e-05
7,1.1281e-05
8,1.1061e-05
9,1.1101e-05
10,1.0911e-05
11,1.07e-05
12,1.056e-05
13,1.0911e-05
14,1.094e-05
15,1.074e-05
16,1.0831e-05
17,1.1582e-05
18,1.0821e-05
19,1.067e-05
20,1.1031e-05
blocksize,elapsed_time
0,1.1111e-05
1,1.1181e-05
2,1.1242e-05
3,1.1081e-05
4,1.0981e-05
5,1.0871e-05
6,1.062e-05
7,1.0871e-05
8,1.057e-05
9,1.0941e-05
10,1.082e-05
11,1.1322e-05
12,1.066e-05
13,1.0871e-05
14,1.1141e-05
15,1.0851e-05
16,1.1091e-05
17,1.1041e-05
18,1.1311e-05
19,1.0871e-05
20,1.0901e-05
blocksize,elapsed_time
0,1.1181e-05
1,1.078e-05
2,1.1111e-05
3,1.0701e-05
4,1.1312e-05
5,1.1502e-05
6,1.1221e-05
7,1.1462e-05
8,1.1201e-05
9,1.1111e-05
10,1.1101e-05
11,1.1372e-05
12,1.092e-05
13,1.0961e-05
14,1.0439e-05
15,1.1121e-05
16,1.06e-05
17,1.0971e-05
18,1.07e-05
19,1.1381e-05
20,1.079e-05
blocksize,elapsed_time
0,1.1401e-05
1,1.1081e-05
2,1.1342e-05
3,1.091e-05
4,1.1281e-05
5,1.1001e-05
6,1.1401e-05
7,1.1091e-05
8,1.1161e-05
9,1.1171e-05
10,1.1311e-05
11,1.084e-05
12,1.1171e-05
13,1.0901e-05
14,1.1211e-05
15,1.1091e-05
16,1.1281e-05
17,1.1342e-05
18,1.109e-05
19,1.1201e-05
20,1.1221e-05
blocksize,elapsed_time
0,1.1281e-05
1,1.1231e-05
2,1.1091e-05
3,1.1351e-05
4,1.1242e-05
5,1.1242e-05
6,1.1051e-05
7,1.1321e-05
8,1.1121e-05
9,1.1231e-05
10,1.1181e-05
11,1.1231e-05
12,1.1221e-05
13,1.1571e-05
14,1.1231e-05
15,1.1161e-05
16,1.1291e-05
17,1.098e-05
18,1.111e-05
19,1.1171e-05
20,1.1461e-05
blocksize,elapsed_time
0,1.1101e-05
1,1.1141e-05
2,1.1111e-05
3,1.1301e-05
4,1.1192e-05
5,1.107e-05
6,1.1111e-05
7,1.1201e-05
8,1.1452e-05
9,1.092e-05
10,1.1351e-05
11,1.1382e-05
12,1.1071e-05
13,1.1011e-05
14,1.1001e-05
15,1.1191e-05
16,1.1121e-05
17,1.1361e-05
18,1.1231e-05
19,1.1412e-05
20,1.1141e-05
blocksize,elapsed_time
0,1.1371e-05
1,1.1191e-05
2,1.1121e-05
3,1.08e-05
4,1.088e-05
5,1.1191e-05
6,1.1111e-05
7,1.1291e-05
8,1.1171e-05
9,1.1252e-05
10,1.1061e-05
11,1.1171e-05
12,1.1051e-05
13,1.1531e-05
14,1.1161e-05
15,1.096e-05
16,1.1171e-05
17,1.1232e-05
18,1.1211e-05
19,1.1181e-05
20,1.1091e-05
blocksize,elapsed_time
0,1.1171e-05
1,1.1411e-05
2,1.1251e-05
3,1.1161e-05
4,1.1121e-05
5,1.1281e-05
6,1.1312e-05
7,1.1151e-05
8,1.1282e-05
9,1.1402e-05
10,1.1221e-05
11,1.1562e-05
12,1.1081e-05
13,1.073e-05
14,1.1131e-05
15,1.1041e-05
16,1.1372e-05
17,1.056e-05
18,1.087e-05
19,1.1021e-05
20,1.2103e-05
blocksize,elapsed_time
0,1.1271e-05
1,1.1411e-05
2,1.1231e-05
3,1.082e-05
4,1.1241e-05
5,1.1161e-05
6,1.1221e-05
7,1.078e-05
8,1.074e-05
9,1.1161e-05
10,1.1181e-05
11,1.1141e-05
12,1.1341e-05
13,1.1141e-05
14,1.078e-05
15,1.1462e-05
16,1.1241e-05
17,1.1071e-05
18,1.1311e-05
19,1.1232e-05
20,1.1051e-05
blocksize,elapsed_time
0,1.4628e-05
1,1.3785e-05
2,1.3896e-05
3,1.4066e-05
4,1.3956e-05
5,1.3846e-05
6,1.3936e-05
7,1.4057e-05
8,1.4377e-05
9,1.4387e-05
10,1.4357e-05
11,1.3957e-05
12,1.4317e-05
13,1.3796e-05
14,1.4277e-05
15,1.3776e-05
16,1.3996e-05
17,1.3846e-05
18,1.4387e-05
19,1.3756e-05
20,1.4678e-05
blocksize,elapsed_time
0,1.6371e-05
1,1.623e-05
2,1.6721e-05
3,1.6662e-05
4,1.63e-05
5,1.632e-05
6,1.6501e-05
7,1.6221e-05
8,1.618e-05
9,1.6802e-05
10,1.6231e-05
11,1.631e-05
12,1.612e-05
13,1.6712e-05
14,1.6341e-05
15,1.6201e-05
16,1.6801e-05
17,1.6661e-05
18,2.1861e-05
19,1.6331e-05
20,1.609e-05
blocksize,elapsed_time
0,1.6701e-05
1,1.6521e-05
2,1.6431e-05
3,1.6341e-05
4,1.6341e-05
5,1.6271e-05
6,1.6631e-05
7,1.6341e-05
8,1.6742e-05
9,1.6741e-05
10,1.6802e-05
11,1.6611e-05
12,1.6922e-05
13,1.6782e-05
14,1.7143e-05
15,1.6692e-05
16,1.6782e-05
17,1.6751e-05
18,1.6662e-05
19,1.7142e-05
20,1.7303e-05
blocksize,elapsed_time
0,1.6671e-05
1,1.6912e-05
2,1.6572e-05
3,1.7172e-05
4,1.6972e-05
5,1.7062e-05
6,1.6892e-05
7,1.7072e-05
8,1.6811e-05
9,1.6822e-05
10,1.7102e-05
